,abstract,title,ground truth venue,predicted_venue_1,predicted_venue_2,predicted_venue_3,predicted_venue_4,predicted_venue_5,predicted_venue_6,predicted_venue_7,predicted_venue_8,predicted_venue_9,predicted_venue_10,predicted_venue_11,predicted_venue_12,predicted_venue_13,predicted_venue_14,predicted_venue_15
56," this paper presents a fast and new deterministic model selection methodology for incremental radial basis function neural network ( rbfnn the development of such special designed methodology is motivated by the problems that arise when using a k-fold unk model taking into account these drawbacks , the proposed model selection approach is a combined algorithm that takes advantage of two this way , the model prediction accuracy is improved , getting small variance and bias , reducing the computation time ", a deterministic model selection scheme for incremental rbfnn construction in time series forecasting ,Neural Computing and Applications,Neurocomputing,Neural Processing Letters,Expert Systems with Applications: An International Journal,IEEE Transactions on Neural Networks,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,Neural Networks,Neural Computing and Applications,Neural Computation,Pattern Recognition Letters,Applied Intelligence,Applied Soft Computing,Information Sciences: an International Journal,Pattern Recognition,Engineering Applications of Artificial Intelligence,The Journal of Machine Learning Research
57," for a two-qubit system under local depolarizing channels , the most robust and most fragile states are derived for a for the one-sided channel , the pure states are proved to be the most robust ones , with the aid [ nat . phys . 4 , 99 ( 2008 ) ] . based on a generalization of the evolution equation for entanglement , we classify the ansatz states in our investigation by for the two-sided channel , the pure states are the most robust for a fixed concurrence . under the uniform channel , the most fragile states have the minimal negativity when the concurrence is given in the ", most robust and fragile two-qubit entangled states under depolarizing channels ,Quantum Information & Computation,Quantum Information Processing,Quantum Information & Computation,IEEE Transactions on Information Theory,Theoretical Computer Science,Electronic Notes in Theoretical Computer Science (ENTCS),"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",IEEE Transactions on Nanotechnology,Mathematical Structures in Computer Science,Microelectronics Journal,Journal of Mathematical Imaging and Vision,Automatica (Journal of IFAC),Neural Computation,Information and Computation,IEICE - Transactions on Information and Systems,Biological Cybernetics
58," the next generation of medical information system will integrate multimedia data to assist physicians in clinical decision-making , diagnoses , this paper describes unk ( medical image annotation and retrieval system ) . unk not only provides automatic annotation , but also supports text based as well as image based retrieval strategies , the system utilizes three trained classifiers , which are trained using training images . the goal of these classifiers is to provide multi-level automatic annotation . another main purpose of the unk system is to study image semantic retrieval strategy by which images can be retrieved ", unk : a medical image retrieval system ,Journal of Medical Systems,IEEE Transactions on Information Technology in Biomedicine,Journal of Medical Systems,Expert Systems with Applications: An International Journal,Computers in Biology and Medicine,Computer Methods and Programs in Biomedicine,Artificial Intelligence in Medicine,ICPR '10 Proceedings of the 2010 20th International Conference on Pattern Recognition,Pattern Recognition,Multimedia Tools and Applications,Journal of Biomedical Informatics,IEICE - Transactions on Information and Systems,Information Processing and Management: an International Journal,Pattern Recognition Letters,EURASIP Journal on Applied Signal Processing,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing
59," we discuss the early history of b-splines with an arbitrary knot sequence , and of their recurrence relations . these seem to have first appeared in papers of unk and unk from the unk . ", the b-spline recurrence relations of unk and of unk ,Journal of Approximation Theory,Journal of Combinatorial Theory Series A,Journal of Algebraic Combinatorics: An International Journal,Advances in Applied Mathematics,European Journal of Combinatorics,Journal of Symbolic Computation,Journal of Computational and Applied Mathematics,Journal of Approximation Theory,Finite Fields and Their Applications,Computer Aided Geometric Design,Discrete Mathematics,Computers & Mathematics with Applications,Discrete & Computational Geometry,Applied Mathematics and Computation,"Designs, Codes and Cryptography",Mathematical and Computer Modelling: An International Journal
60," this work presents a joint source and channel coding method for transmission of progressively compressed three-dimensional ( 3-d ) models the proposed system uses the compressed progressive mesh ( cpm ) algorithm to produce a hierarchical bitstream representing different levels in addition to optimizing the transmitted bitstream with respect to the channel characteristics , we also choose the optimum combination that is , given a 3-d mesh , a total bit budget ( b ) and a channel packet-loss rate experimental results show that , with our unequal error protection approach that uses the proposed bit-allocation algorithm , the decoded ", bit allocation for joint source and channel coding of progressively compressed 3-d models ,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Transactions on Signal Processing,IEEE Journal on Selected Areas in Communications,"IEEE Transactions on Audio, Speech, and Language Processing",EURASIP Journal on Applied Signal Processing,IEEE Transactions on Wireless Communications,IEEE Transactions on Image Processing,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Transactions on Multimedia,Signal Processing,Digital Signal Processing,Wireless Personal Communications: An International Journal,IEEE Transactions on Consumer Electronics,IEEE Transactions on Information Theory,IEEE Transactions on Communications,Journal of Signal Processing Systems
61, first page of the article , ink display ,IEEE Spectrum,IEEE Computer Graphics and Applications,IEEE Spectrum,Computer,IEEE MultiMedia,IEEE Transactions on Consumer Electronics,Encyclopedia of Computer Science,IEEE Communications Magazine,IEEE Micro,IEEE Design & Test,Communications of the ACM,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Software,IBM Journal of Research and Development,IEEE Transactions on Education,IBM Systems Journal
62," a new control structure construct , the unk , is introduced as a syntactic combination of the while and the examples are shown indicating that use of the unk can lead to structured programs that are conceptually more manageable than the unk statement is then extended to a unk expression which is shown to be more powerful than either the ", a case for unk ,ACM SIGPLAN Notices,Communications of the ACM,Encyclopedia of Computer Science,ACM SIGPLAN Notices,IEEE Transactions on Computers,Journal of the ACM (JACM),ACM SIGOPS Operating Systems Review,IBM Journal of Research and Development,IEEE Transactions on Software Engineering,ACM SIGART Bulletin,ACM Transactions on Programming Languages and Systems (TOPLAS),ACM SIGSAM Bulletin,ACM SIGSOFT Software Engineering Notes,ACM SIGCSE Bulletin,Computer,Journal of Computer and System Sciences
63," the purpose of this paper is to introduce the reader to the field of closed-loop supply chains with a strong it recounts the evolution of research in this growing area over the past 15 years , during which it developed we use five phases to paint an encompassing view of this evolutionary process for the reader to understand past achievements ", or forum -- unk evolution of closed-loop supply chain research ,Operations Research,Interfaces,Operations Research,Management Science,Journal of Global Optimization,Computers and Industrial Engineering,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,Computers and Operations Research,HICSS '12 Proceedings of the 2012 45th Hawaii International Conference on System Sciences,HICSS '07 Proceedings of the 40th Annual Hawaii International Conference on System Sciences,IBM Systems Journal,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences,Operations Research Letters,Transportation Science,Proceedings of the Winter Simulation Conference,Marketing Science
64," a b-spline backstepping controller is proposed for a class of multiple-input multiple-output ( mimo ) nonlinear systems . the control scheme incorporates the backstepping design technique with a b-spline neural network which is utilized to estimate the system the b-spline neural network has the advantage of locally controlling its output behavior compared with other neural networks ; therefore based on the mean-value theorem , the derivative of b-spline basis functions in relation to parameters can be estimated to in addition , the validity of the proposed scheme is verified through an experiment on a servo motor system which ", b-spline backstepping control with derivative matrix estimation and its applications ,Neurocomputing,Journal of Intelligent and Robotic Systems,International Journal of Systems Science,IEEE Transactions on Fuzzy Systems,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",Engineering Applications of Artificial Intelligence,Automatica (Journal of IFAC),Information Sciences: an International Journal,Expert Systems with Applications: An International Journal,Applied Soft Computing,CCDC'09 Proceedings of the 21st annual international conference on Chinese control and decision conference,Neurocomputing,Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,ACC'09 Proceedings of the 2009 conference on American Control Conference,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",IEEE Transactions on Neural Networks
65," we consider the analysis and design of low-density parity-check ( ldpc ) codes for turbo multiuser detection in multipath code we develop techniques for computing the probability density function ( pdf ) of the extrinsic messages at the output of of particular interest is the soft interference cancellation plus minimum mean square error ( unk ) multiuser detector , for for the case of additive white gaussian noise ( awgn ) channels , the extrinsic messages can be well approximated for the case of asynchronous multipath fading channels , the extrinsic messages can be approximated by a mixture of symmetric we show that the expectation-maximization ( em ) algorithm can be used to compute the parameters of this mixture . using these techniques , we are able to accurately compute the thresholds for ldpc codes and design good irregular ldpc simulation results are in good agreement with the computed thresholds , and the designed irregular ldpc codes outperform regular ones ", optimization of unk turbo cdma systems ,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing,IEEE Transactions on Wireless Communications,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Communications,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Information Theory,Wireless Personal Communications: An International Journal,Signal Processing,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,MILCOM'06 Proceedings of the 2006 IEEE conference on Military communications,Digital Signal Processing,IEEE Transactions on Mobile Computing,Wireless Networks,WCNC'09 Proceedings of the 2009 IEEE conference on Wireless Communications & Networking Conference
66," this work discusses an evolutionary algorithm in which the constituent variables of a solution are modeled by a markov random we maintain a population of potential solutions at every generation and for each solution a fitness value is calculated . the evolution , however , is not achieved through genetic recombination . instead , each variable in a solution will be updated by sampling from its probability distribution . according to the mrf prior , local exploitation is encoded in the conditional probabilities . for evolutionary exploration , we estimate the probabilities as unk statistics . these two kinds of search are combined smoothly in our algorithm . we compare it with two representative algorithms [ iterated conditional modes ( icm ) and simulated annealing ( sa ) ", evolutionary optimization with markov random field prior ,IEEE Transactions on Evolutionary Computation,IEEE Transactions on Evolutionary Computation,Computational Optimization and Applications,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),Journal of Global Optimization,Applied Soft Computing,Computers and Operations Research,The Journal of Machine Learning Research,INFORMS Journal on Computing,Applied Intelligence,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",Information Sciences: an International Journal,Neurocomputing,Expert Systems with Applications: An International Journal,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",Theoretical Computer Science
67," support vector regression ( svr ) has been very successful in pattern recognition , text categorization , and function approximation the theory of svr is based on the idea of structural risk minimization . in real application systems , data domain often suffers from noise and outliers . when there is noise and/or outliers exist in sampling data , the svr may try to fit those improper data in addition , the memory space for storing the kernel matrix of svr will be increment with o ( n^2 hence , for a large training data set , the kernel matrix can not be saved in the memory . in this paper , a reduced support vector regression is proposed for nonlinear function approximation problems with noise and outliers the core idea of this approach is to adopt fuzzy clustering and a robust fuzzy c-means ( unk ) algorithm ", a reduced data set method for support vector regression ,Expert Systems with Applications: An International Journal,Neurocomputing,Pattern Recognition,Expert Systems with Applications: An International Journal,Neural Processing Letters,Pattern Recognition Letters,IEEE Transactions on Neural Networks,Applied Soft Computing,Information Sciences: an International Journal,Neural Networks,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,Knowledge-Based Systems,Neural Computing and Applications,Fuzzy Sets and Systems,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",Engineering Applications of Artificial Intelligence
68," local search methods are often used to reduce the power consumption of broadcast routing in wireless networks . for a classic method , sweep , the best available time complexity result is o ( unk ) . we present an o ( unk ) unk method , which exhaustively removes unnecessary transmissions yielding a solution comparable to ", a fast local search method for minimum energy broadcast in wireless ad hoc networks ,Operations Research Letters,Wireless Networks,Ad Hoc Networks,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,Mobile Networks and Applications,IEEE Transactions on Mobile Computing,IEEE Transactions on Wireless Communications,IEEE/ACM Transactions on Networking (TON),Computer Communications,ICC'09 Proceedings of the 2009 IEEE international conference on Communications,Computer Networks: The International Journal of Computer and Telecommunications Networking,IEEE Communications Letters,IEEE Transactions on Parallel and Distributed Systems,WCNC'09 Proceedings of the 2009 IEEE conference on Wireless Communications & Networking Conference,ACM SIGMETRICS Performance Evaluation Review,Wireless Personal Communications: An International Journal
69," this paper aims at presenting an approach for analyzing unk retrial systems with servers subject to breakdowns and repairs , this high-level formalism allows a simple representation of such systems with different breakdown disciplines . from the unk model , a continuous time markov chain ( ctmc ) can be automatically derived . however , for multiserver retrial systems with unreliable servers , the models may have a huge state space . using the unk model as a support , we propose an algorithm for directly computing the infinitesimal generator of the in addition , we develop the formulas of the main stationary performance and reliability indices , as a function of through numerical examples , we discuss the effect of the system parameters and the breakdown disciplines on performance . ", an algorithmic approach for analysis of unk retrial systems with unreliable servers ,Computers & Mathematics with Applications,Computers and Operations Research,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans","IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",Simulation,Future Generation Computer Systems,Mathematical and Computer Modelling: An International Journal,Computers and Industrial Engineering,Journal of Parallel and Distributed Computing,The Journal of Supercomputing,Automatica (Journal of IFAC),Parallel Computing,IEEE Transactions on Parallel and Distributed Systems,Computational Optimization and Applications,Information Sciences: an International Journal,Proceedings of the Winter Simulation Conference
70," the three-step search ( tss ) algorithm has been widely used as the motion estimation technique in some low bit-rate however , tss uses a uniformly allocated checking point pattern in its first step , which becomes inefficient for the a new three-step search ( unk ) algorithm is proposed in the paper . the features of unk are that it employs a unk checking point pattern in the first step , which is simulation results show that , as compared to tss , unk is much more robust , produces smaller motion compensation ", a new three-step search algorithm for block motion estimation ,IEEE Transactions on Circuits and Systems for Video Technology,IEEE Transactions on Consumer Electronics,IEEE Transactions on Circuits and Systems for Video Technology,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,IEICE - Transactions on Information and Systems,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences","ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing",Journal of Visual Communication and Image Representation,IEEE Transactions on Multimedia,Pattern Recognition Letters,Multimedia Tools and Applications,Pattern Recognition,Signal Processing,"ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control",EURASIP Journal on Applied Signal Processing,IEEE Transactions on Image Processing
71," in this study , the ecg signal were measured as noiseless with unk electrodes , then converted digital data using the digital data were then sent to receiver where it is in unk mhz unk transmitter , which has 10 at the receiver , the digital data were unk to analog signal to monitor and record on the pc with the power spectrum of measured ecg signal was formed using matlab program . as a result , the medical supporting system is realized for monitoring the ecg signal on pc of human with ", wireless transmission of ecg signal ,Journal of Medical Systems,Journal of Medical Systems,Wireless Personal Communications: An International Journal,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,"ICECC '12 Proceedings of the 2012 International Conference on Electronics, Communications and Control",IEEE Transactions on Information Technology in Biomedicine,"WiCOM'09 Proceedings of the 5th International Conference on Wireless communications, networking and mobile computing",Digital Signal Processing,ICECE '10 Proceedings of the 2010 International Conference on Electrical and Control Engineering,IITA'09 Proceedings of the 3rd international conference on Intelligent information technology application,Expert Systems with Applications: An International Journal,Computer Methods and Programs in Biomedicine,Computers and Electrical Engineering,CSSS '12 Proceedings of the 2012 International Conference on Computer Science and Service System,IEEE Transactions on Consumer Electronics,ICETCE '12 Proceedings of the 2012 Second International Conference on Electric Technology and Civil Engineering
72," a tool which can quickly interpret line drawings ( with hidden lines removed ) of engineering objects as boundary representation inflation of the drawing to produce a frontal geometry , a geometric realisation of that part of the object visible previous methods of producing frontal geometries have relied on the technique of line labelling ( labelling edges as convex , although restricted subsets of the unk problem have known solutions , reliable methods have not been found for the general many other papers assume that line labelling is an essential step . here , we show this is not necessarily true , and that comparable results can be obtained by a novel firstly , we consider what outputs from line labelling are essential to the production of frontal geometry . secondly , we investigate by what other means these outputs can be produced . ", frontal geometry from sketches of engineering objects : is line labelling necessary ? ,Computer-Aided Design,IEEE Transactions on Pattern Analysis and Machine Intelligence,Computer Aided Geometric Design,Journal of Mathematical Imaging and Vision,International Journal of Computer Vision,Mathematical and Computer Modelling: An International Journal,Computer-Aided Design,Image and Vision Computing,Pattern Recognition Letters,ACM Transactions on Graphics (TOG),Computer Vision and Image Understanding,Pattern Recognition,IEEE Computer Graphics and Applications,IEEE Transactions on Image Processing,Computers & Mathematics with Applications,Journal of Computational and Applied Mathematics
73," in this article , we consider the unk case of the single machine scheduling problem with a fixed unk interval we aim to minimize the weighted sum of completion times . no polynomial 2-approximation algorithm for this problem has been previously known . we propose a 2-approximation algorithm with o ( n^2 ) time complexity where n is the number of jobs . we show that this bound is tight . the obtained result outperforms all the previous polynomial approximation algorithms for this problem . ", approximation algorithm for the weighted unk minimization on a single machine with a fixed unk interval ,Computers and Industrial Engineering,Information Processing Letters,Theoretical Computer Science,Operations Research Letters,Discrete Applied Mathematics,Computers and Operations Research,International Journal of Systems Science,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",International Journal of Computer Mathematics,Journal of Global Optimization,Computational Optimization and Applications,INFORMS Journal on Computing,Journal of Parallel and Distributed Computing,Applied Mathematics and Computation,Mathematical and Computer Modelling: An International Journal,Computers & Mathematics with Applications
74," this study analyzed variation of cutting velocity and workpiece surface finish depending on wire electrical discharge machining ( unk ) a method integrating back-propagation neural network ( bpnn ) and simulated annealing algorithm ( saa ) is proposed to determine the specimens are prepared under different unk process conditions based on a taguchi orthogonal array table . the results of 18 experimental runs were utilized to train the bpnn predicting the cutting velocity , roughness average ( in addition , the analysis of variance ( anova ) was implemented to identify significant factors for the unk process the results of proposed algorithm and confirmation experiments are show that the unk method is effective tool for the optimization ", optimization of wire electrical discharge machining for pure tungsten using a neural network integrated simulated annealing approach ,Expert Systems with Applications: An International Journal,Expert Systems with Applications: An International Journal,Applied Soft Computing,Advances in Engineering Software,Engineering Applications of Artificial Intelligence,International Journal of Computer Applications in Technology,Computers and Industrial Engineering,Robotics and Computer-Integrated Manufacturing,Computers and Structures,Finite Elements in Analysis and Design,Computers and Electronics in Agriculture,ICETCE '12 Proceedings of the 2012 Second International Conference on Electric Technology and Civil Engineering,Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,Neural Computing and Applications,Computers in Industry,Computer-Aided Design
75," in the past few years , many gray-level image watermarking schemes have been proposed , although the extension to the this paper presents a new color image watermarking scheme that combines color edge detection and color quantization using principal axes the watermark is hidden within the data by modifying a subset of carefully selected edge points to resist both geometric experimental results show the robustness of the proposed scheme to resist common attacks . ", fusion of color edge detection and color quantization for color image watermarking using principal axes analysis ,Pattern Recognition,IEEE Transactions on Consumer Electronics,Pattern Recognition Letters,IEEE Transactions on Image Processing,Journal of Visual Communication and Image Representation,Fundamenta Informaticae,Pattern Recognition,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,Signal Processing,Image and Vision Computing,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Digital Signal Processing,IEEE Transactions on Circuits and Systems for Video Technology,Computers and Electrical Engineering,IEICE - Transactions on Information and Systems,Multimedia Tools and Applications
76," for a t-norm t on [ unk ] , a partial order @ ? unk t was recently defined and studied . in this study , for any fixed c @ ? ( unk ) , we define the set of incomparable elements according to @ ? unk t and this set is deeply investigated . by means of the equivalence relation , defined in [ 14 ] , it is shown the set [ unk finally , with the help of any t-norm t on [ unk ] , it is obtained that the family unk ( unk 0 unk , unk 1 unk ) of t-norms on [ unk ] . ", on the unk order and properties ,Information Sciences: an International Journal,European Journal of Combinatorics,Journal of Combinatorial Theory Series A,Finite Fields and Their Applications,Journal of Approximation Theory,Advances in Applied Mathematics,Discrete Applied Mathematics,Theoretical Computer Science,Computers & Mathematics with Applications,Journal of Combinatorial Theory Series B,Mathematical and Computer Modelling: An International Journal,Discrete Mathematics,Fuzzy Sets and Systems,Applied Mathematics and Computation,Journal of Computational and Applied Mathematics,Information Sciences: an International Journal
77," the development of high-quality digital mobile radio systems has become a major goal in the field of digital communications . the possibility of providing speech and data services free of wire unk in different environments is a very attractive proposition the aim of the present article is to analyze the behavior of different receiver structures for such systems in order these systems have to provide both low- and high-data-rate services ( up to 1 mb/s ) and be efficient in moreover , as the carrier frequencies will range between 1 and 4 ghz , and the vehicle speed can be under certain conditions , diversity techniques perform better than equalization techniques in typical mobile radio environments ", equalization and space diversity techniques in mobile environments ,IEEE Network: The Magazine of Global Internetworking,IEEE Journal on Selected Areas in Communications,IEEE Communications Magazine,IEEE Network: The Magazine of Global Internetworking,IEEE Wireless Communications,IEEE Transactions on Consumer Electronics,IEEE Transactions on Wireless Communications,Wireless Personal Communications: An International Journal,IEEE Transactions on Fuzzy Systems,IEEE Transactions on Signal Processing,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",IEEE Transactions on Neural Networks,IEEE Transactions on Circuits and Systems for Video Technology,Mobile Networks and Applications,Wireless Networks,IEEE Spectrum
78, we consider the sequence adaptation problem for cellular asynchronous code-division multiple-access ( cdma ) systems . a game-theoretic approach is used to investigate the stability issues of distributed adaptation algorithms . it is shown that the nash equilibrium may not exist for cellular cdma systems if the traditional interference measure is in turn we propose a new interference measure which ensures system stability . , on the stability of distributed sequence adaptation for cellular asynchronous ds-cdma systems ,IEEE Transactions on Information Theory,IEEE Transactions on Wireless Communications,IEEE Journal on Selected Areas in Communications,Wireless Networks,Wireless Personal Communications: An International Journal,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Performance Evaluation,Automatica (Journal of IFAC),Mobile Networks and Applications,IEEE Transactions on Communications,Computer Communications,IEEE Transactions on Signal Processing,IEEE/ACM Transactions on Networking (TON),IEEE Transactions on Parallel and Distributed Systems,IEEE Transactions on Information Theory,ICC'09 Proceedings of the 2009 IEEE international conference on Communications
79," the iowa driving simulator ( ids ) is a high-fidelity , immersive virtual environment for driving simulation . it supports a variety of applications , ranging from traffic safety research to full-scale test and evaluation of vehicle designs the ids places an operator at the controls of a detailed , computational vehicle model in a rich , fully the immersive virtual environment can create a range of driving conditions from high density , unk urban unk to unk a wide variety of scenarios and events can be specified to meet experimental needs . the authors describe the capabilities and underlying architecture of the ids and the approach used to model and control the several current applications of the ids are highlighted , including its use in the study of unk issues for an as of july 1995 , approximately 1,000 experimental runs have been conducted in conjunction with 22 separate studies using the ", the iowa driving simulator : an immersive research environment ,Computer,Presence: Teleoperators and Virtual Environments,IEEE Computer Graphics and Applications,Computer,Simulation,IEEE Transactions on Information Technology in Biomedicine,Computers & Geosciences,International Journal of Geographical Information Science,IEEE Communications Magazine,IEEE Transactions on Visualization and Computer Graphics,Computers and Electronics in Agriculture,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",The Visual Computer: International Journal of Computer Graphics,Journal of Intelligent and Robotic Systems,IEEE MultiMedia,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews"
80," employee turnover risk identification is a process to find the risk factors of employee turnover exactly , and it 's quality function deployment method is a unk unk unk quality engineering method aims at increasing the customer satisfaction level . after analyzing the employee turnover risk factors that would threaten enterprise production and operation activities , we propose a multi-level the application of improved quality function deployment method in employee turnover risk identification mainly involves configuring the employee turnover risk it proves well to use the improved quality function deployment method in employee turnover risk identification process . ", improved quality function deployment method in employee turnover risk identification process ,"ICECC '12 Proceedings of the 2012 International Conference on Electronics, Communications and Control",Expert Systems with Applications: An International Journal,CCDC'09 Proceedings of the 21st annual international conference on Chinese control and decision conference,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,"WiCOM'09 Proceedings of the 5th International Conference on Wireless communications, networking and mobile computing",ICECE '10 Proceedings of the 2010 International Conference on Electrical and Control Engineering,IITA'09 Proceedings of the 3rd international conference on Intelligent information technology application,ICEE '10 Proceedings of the 2010 International Conference on E-Business and E-Government,CSSS '12 Proceedings of the 2012 International Conference on Computer Science and Service System,"ICECC '12 Proceedings of the 2012 International Conference on Electronics, Communications and Control",ICICIC '08 Proceedings of the 2008 3rd International Conference on Innovative Computing Information and Control,ICCIS '13 Proceedings of the 2013 International Conference on Computational and Information Sciences,"ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control",ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,International Journal of Computer Applications in Technology,ICICEE '12 Proceedings of the 2012 International Conference on Industrial Control and Electronics Engineering
81," many multicore chips today employ advanced power management techniques . multi-threshold cmos ( mtcmos ) is very effective for reducing standby leakage power . dynamic voltage scaling and voltage islands which operate at multiple power-supply voltage levels , minimize dynamic power consumption . effective defect screening for such chips requires advanced test techniques that target defects in the embedded cores and the power we describe recent advances in test generation and test scheduling techniques for socs that support power switches , voltage islands ", testing for socs with advanced static and dynamic unk capabilities ,"Proceedings of the Conference on Design, Automation and Test in Europe",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE Design & Test,"Proceedings of the conference on Design, automation and test in Europe",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE Micro,"Proceedings of the Conference on Design, Automation and Test in Europe",ACM Transactions on Design Automation of Electronic Systems (TODAES),Journal of Electronic Testing: Theory and Applications,Journal of Signal Processing Systems,IEEE Transactions on Computers,Analog Integrated Circuits and Signal Processing,IEEE Communications Magazine,Microelectronics Journal,Computer,Journal of Systems Architecture: the EUROMICRO Journal
82," motivation : splice variation plays important roles in evolution and cancer . different splice variants of a gene may be characteristic of particular cellular processes , subcellular locations or organs . although several genomic projects have identified splice variants , there have been no large-scale computational studies of the relationship between the gene ontology ( go ) and tools for leveraging go , such as unk , now make such a results : we partitioned genes into two groups : those with numbers of splice variants unk and b ( unk then we used unk to determine whether any go categories are enriched in genes with particular numbers of splice variants since there was no a priori unk appropriate unk partition boundary , we studied those unk robust unk categories whose furthermore , because the distribution of splice variant number was a snapshot taken at a particular point in time , ", unk study of the relationship between number of gene splice variants and go categorization ,Bioinformatics,Bioinformatics,Computational Biology and Chemistry,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),Pattern Recognition Letters,Pattern Recognition,Journal of Biomedical Informatics,Computers in Biology and Medicine,Journal of the American Society for Information Science and Technology,Random Structures & Algorithms,Artificial Intelligence in Medicine,Computer Methods and Programs in Biomedicine,Fundamenta Informaticae,International Journal of Computer Mathematics,Applied Soft Computing,Discrete Applied Mathematics
83," the relationship between the so-called nonstandard finite-difference schemes and the nodal integral method ( nim ) is investigated using the exact and best finite-difference schemes are reviewed first . next , the nim for the fisher equation is developed . it is shown that the nim leads to a nonstandard evaluation of the derivatives . moreover , the resulting scheme possesses the desirable characteristics of the nonstandard finite difference schemes , such as the nonlocal thus , the nim provides a systematic framework to obtain schemes similar to the best finite-difference schemes . numerical results for a propagating front problem show that the nim can capture the shape and speed of the front results also show that the best finite-difference scheme is stable for large grid sizes but only at the cost of ", comparison of the nodal integral method and nonstandard finite-difference schemes for the fisher equation ,SIAM Journal on Scientific Computing,Journal of Computational Physics,Applied Mathematics and Computation,Computers & Mathematics with Applications,Journal of Computational and Applied Mathematics,Mathematical and Computer Modelling: An International Journal,Applied Numerical Mathematics,International Journal of Computer Mathematics,Journal of Scientific Computing,SIAM Journal on Numerical Analysis,SIAM Journal on Scientific Computing,Mathematics and Computers in Simulation,Computers & Geosciences,Advances in Engineering Software,Environmental Modelling & Software,Finite Elements in Analysis and Design
84," rising tide of crowd sourcing as a new method of innovation is unk across diverse industries . considering that the goal of crowd sourcing is generating ideas which can be seeds of innovation , understanding the characteristics in our approach , we extract idea contents characteristics such as subjectivity , negativity , public unk , and depth an analysis of unk ideas from my star unk unk shows that there are significant differences between unk and unk besides , moderating effect of user reputation is found . managerial implications are discussed . ", what determines an agreeable and unk idea ? a study of user ideas on unk ,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,HICSS '12 Proceedings of the 2012 45th Hawaii International Conference on System Sciences,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Information and Management,Decision Support Systems,HICSS '09 Proceedings of the 42nd Hawaii International Conference on System Sciences,Computers in Human Behavior,HICSS '07 Proceedings of the 40th Annual Hawaii International Conference on System Sciences,Journal of Management Information Systems,CHI '13 Extended Abstracts on Human Factors in Computing Systems,Management Science,Information Systems Frontiers,MIS Quarterly,Personal and Ubiquitous Computing
